""
"";"janeiro / 2019";"fevereiro / 2019";"março / 2019";"abril / 2019";"maio / 2019";"junho / 2019";"julho / 2019";"agosto / 2019";"setembro / 2019";"outubro / 2019";"novembro / 2019";"dezembro / 2019";"janeiro / 2020";"fevereiro / 2020";"março / 2020";"abril / 2020";"maio / 2020";"junho / 2020";"julho / 2020";"agosto / 2020";"setembro / 2020";"outubro / 2020";"novembro / 2020";"dezembro / 2020";"janeiro / 2021";"fevereiro / 2021";"março / 2021";"abril / 2021";"maio / 2021";"junho / 2021";"julho / 2021";"agosto / 2021";"setembro / 2021";"outubro / 2021";"novembro / 2021";"dezembro / 2021";"janeiro / 2022";"fevereiro / 2022";"março / 2022";"abril / 2022";"maio / 2022";"junho / 2022";"julho / 2022";"agosto / 2022";"setembro / 2022";"outubro / 2022";"novembro / 2022";"dezembro / 2022";"janeiro / 2023";"fevereiro / 2023";"março / 2023";"abril / 2023";"maio / 2023";"junho / 2023";"julho / 2023";"agosto / 2023";"setembro / 2023";"outubro / 2023";"novembro / 2023";"dezembro / 2023";"janeiro / 2024";"fevereiro / 2024";"março / 2024";"abril / 2024";"maio / 2024";"junho / 2024";"julho / 2024";"agosto / 2024";"setembro / 2024";"outubro / 2024";"novembro / 2024";"dezembro / 2024";"janeiro / 2025";"fevereiro / 2025";"março / 2025";"abril / 2025";"maio / 2025";"junho / 2025";"julho / 2025";"agosto / 2025";"setembro / 2025";"outubro / 2025";"novembro / 2025";"dezembro / 2025";"Total do Período"
"Total de Receitas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"4.569,21";"110.003,40";"104.337,74";"105.361,22";"106.399,40";"111.896,63";"82.405,95";"89.668,77";"63.219,86";"21.186,40";"36.031,17";"47.434,64";"15.185,53";"38.888,01";"56.192,86";"75.891,55";"67.388,68";"82.161,18";"59.074,87";"53.696,80";"20.263,31";"60.553,88";"88.030,65";"88.316,91";"101.089,08";"100.636,78";"100.539,63";"117.833,44";"118.464,06";"138.908,35";"84.019,17";"91.582,25";"117.769,34";"118.215,72";"107.256,77";"115.430,27";"118.764,96";"126.848,75";"129.812,01";"143.351,28";"129.338,52";"144.048,08";"93.620,35";"89.331,88";"142.479,46";"115.796,87";"118.082,86";"118.376,99";"116.463,58";"131.374,26";"125.926,88";"127.189,31";"138.482,96";"148.819,46";"84.503,20";"91.152,44";"121.570,76";"128.904,93";"55.471,43";"134.301,75";"131.700,47";"130.078,86";"130.885,48";"146.047,94";"139.005,53";"143.468,41";"117.699,01";"129.331,65";"138.849,09";"148.691,20";"159.825,59";"165.842,88";"172.654,03";"187.188,09";"167.338,16";"168.623,61";"179.487,23";"0,00";"8.330.633,68"
""
"(-) DESPESAS"
"Despesas Fixas";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5000,00";"0";"0";"0";"10000,00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"109333,68";"155716,17";"0";"40,00";"10000,00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"290089,85"
"Aluguel";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"5.000,00";"0,00";"0,00";"0,00";"10.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"109.333,68";"155.716,17";"0,00";"0,00";"10.000,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"290.049,85"
"Condomínio";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"40,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"40,00"
""
"Despesas Variáveis";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"101,20";"11,96";"0";"44,58";"0";"12,95";"6,80";"0";"9,94";"0";"18,31";"65,31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"50,00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15,00";"0";"0";"0";"0";"0";"0";"400,00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"736,05"
"Compra de Produto";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"62,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"300,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"362,00"
"Gás";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"15,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"15,00"
"Limpeza";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"12,95";"6,80";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"19,75"
"Luz";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"100,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"100,00"
"Manutenção";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"46,80";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"50,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"96,80"
"Papelaria (Inativa)";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"39,20";"11,96";"0,00";"44,58";"0,00";"0,00";"0,00";"0,00";"9,94";"0,00";"18,31";"18,51";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"142,50"
""
"Pessoal";"0";"0";"0";"0";"0";"0";"0";"2320,00";"1150,00";"1700,00";"4010,00";"5993,00";"1734,00";"1184,00";"800,00";"150,00";"450,00";"0";"100,00";"120,00";"201,00";"550,00";"400,00";"3420,00";"850,00";"900,00";"50,00";"100,00";"1000,00";"2000,00";"2900,00";"1646,70";"2260,00";"3070,00";"3150,00";"4475,54";"4150,00";"3825,00";"5850,00";"5590,46";"3908,22";"3099,00";"6308,22";"4800,00";"6814,70";"5888,80";"5600,00";"6100,00";"6431,70";"5570,00";"3950,00";"4930,00";"9322,32";"6100,00";"4880,00";"3922,33";"6183,33";"7639,99";"6596,33";"6200,63";"7534,91";"4419,67";"8387,86";"4719,94";"900,00";"1800,00";"4440,00";"4209,20";"1950,00";"1894,50";"3500,00";"3083,33";"2053,33";"5340,00";"5773,58";"4229,95";"4580,33";"4202,90";"3123,30";"5511,89";"10484,63";"10910,00";"8689,50";"0";"292084,09"
"Alimentação";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"150,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"150,00"
"Bonificação";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"3,50";"0,00";"0,00";"180,30";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"94,50";"0,00";"590,00";"0,00";"500,63";"0,00";"0,00";"99,26";"0,00";"0,00";"0,00";"140,00";"0,00";"0,00";"44,50";"0,00";"0,00";"120,00";"640,00";"0,00";"202,44";"126,81";"0,00";"123,30";"141,26";"7.014,00";"8.960,00";"3.494,75";"0,00";"22.475,25"
"Vale/Adiantamento Profissional";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.320,00";"1.150,00";"1.700,00";"4.010,00";"5.993,00";"1.734,00";"1.184,00";"800,00";"150,00";"450,00";"0,00";"100,00";"120,00";"201,00";"550,00";"400,00";"3.420,00";"850,00";"900,00";"50,00";"100,00";"1.000,00";"2.000,00";"2.900,00";"1.646,70";"2.260,00";"3.070,00";"3.150,00";"4.475,54";"4.150,00";"3.825,00";"5.850,00";"5.590,46";"3.908,22";"3.099,00";"6.308,22";"4.800,00";"6.814,70";"5.885,30";"5.600,00";"6.100,00";"6.251,40";"5.570,00";"3.950,00";"4.930,00";"9.322,32";"6.100,00";"4.880,00";"3.827,83";"6.183,33";"6.899,99";"6.596,33";"5.700,00";"7.534,91";"4.419,67";"8.288,60";"4.719,94";"900,00";"1.800,00";"4.300,00";"4.209,20";"1.950,00";"1.850,00";"3.500,00";"3.083,33";"1.933,33";"4.700,00";"5.773,58";"4.027,51";"4.453,52";"4.202,90";"3.000,00";"5.370,63";"3.470,63";"1.950,00";"5.194,75";"0,00";"269.458,84"
""
"Impostos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
""
"Outros";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
""
"Total de Despesas";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"2.320,00";"1.150,00";"1.700,00";"4.010,00";"6.094,20";"1.745,96";"1.184,00";"844,58";"150,00";"462,95";"6,80";"100,00";"129,94";"201,00";"568,31";"465,31";"3.420,00";"850,00";"900,00";"50,00";"100,00";"1.000,00";"2.000,00";"2.900,00";"1.646,70";"2.260,00";"3.070,00";"3.150,00";"4.475,54";"4.150,00";"3.825,00";"5.850,00";"5.590,46";"8.958,22";"3.099,00";"6.308,22";"4.800,00";"16.814,70";"5.888,80";"5.600,00";"6.100,00";"6.431,70";"5.570,00";"3.950,00";"4.930,00";"9.322,32";"6.100,00";"114.213,68";"159.638,50";"6.183,33";"7.694,99";"16.596,33";"6.200,63";"7.534,91";"4.419,67";"8.387,86";"4.719,94";"1.300,00";"1.800,00";"4.440,00";"4.209,20";"1.950,00";"1.894,50";"3.500,00";"3.083,33";"2.053,33";"5.340,00";"5.773,58";"4.229,95";"4.580,33";"4.202,90";"3.123,30";"5.511,89";"10.484,63";"10.910,00";"8.689,50";"0,00";"582.909,99"
""
